title,viewCount
$track,679505
Starboy,1311355682
Closer,2031654253
Rockabye (feat. Sean Paul & Anne-Marie),1778018333
Let Me Love You,548468271
Don't Wanna Know,381830150
Black Beatles,629052905
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",454723226
Fake Love,5275947
24K Magic,954509373
Say You Won't Let Go,575940826
All I Want for Christmas Is You,408460250
I Feel It Coming,341517694
One Dance,1273708
Cold Water (feat. Justin Bieber & MØ),865868389
The Greatest,537208603
In the Name of Love,336800225
Call On Me - Ryan Riback Extended Remix,45010
Chantaje,2106182115
Side To Side,1269375638
Just Hold On,30384166
Last Christmas,335087018
Starving,206943636
Bad and Boujee (feat. Lil Uzi Vert),632016412
Bad Things (with Camila Cabello),215326104
Mercy,207480231
My Way,57039353
Heathens,965733050
All We Know,181759116
Don't Let Me Down,987913142
Treat You Better,1523490819
Scars To Your Beautiful,41500396
Reggaetón Lento (Bailemos),1245457847
Love Me Now,144214654
All Night,1732043
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",761500328
Now and Later,41646845
The Mack,1654166
By Your Side,68746167
We Don't Talk Anymore (feat. Selena Gomez),1709690043
Alone,745268055
It's Beginning To Look A Lot Like Christmas,17644975
I Would Like,37289729
Party Monster,83659281
Safari,690170673
It's the Most Wonderful Time of the Year,29605261
Cheap Thrills,1018005025
Deja Vu,40487348
Broccoli (feat. Lil Yachty),295220557
I Took A Pill In Ibiza - Seeb Remix,53351531
Caroline,216786962
Jingle Bell Rock,43918126
Vente Pa' Ca,1373207126
Otra Vez (feat. J Balvin),799312058
Ride,608518328
Shed a Light,16064725
"How Far I'll Go - From ""Moana""",358970136
Hear Me Now,222917841
Sexual,19636762
Let It Snow! Let It Snow! Let It Snow!,87658134
White Christmas,1279607
Perfect Strangers,392825357
This Is What You Came For,1938405267
Bounce Back,151278495
Too Good,15488434
Stressed Out,1269118546
Rockin' Around The Christmas Tree - Single Version,2259659
"i hate u, i love u (feat. olivia o'brien)",358872481
Feliz Navidad,50345385
Work from Home,1795812324
Do They Know It's Christmas? - 1984 Version,33766546
Human,468313437
Faded,1582826162
Panda,408458641
Love Yourself,1310778284
Work,982825794
Sorry,2892291297
Blue Christmas,4606461
"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",511383983
Solo Dance,808683
Juju On That Beat (TZ Anthem),45930769
Setting Fires,52466742
Merry Christmas Everyone - Remastered,50280774
Make Me (Cry),112014054
Santa Tell Me,145562236
La Bicicleta,1110712810
Chill Bill,27976530
Happy Xmas (War Is Over) - 2010 Digital Remaster,208005
Shout Out to My Ex,285097771
Lot to Learn,15059840
Mistletoe,317316167
Traicionera,340572214
Controlla,1503164
Water Under the Bridge,15388106
The Ocean,96340395
Hymn For The Weekend - Seeb Remix,33602636
